Test Your Mettle: Where?
Custom
HailActorGetQuest -Actor "Hydona"
335.49 286.45 965.62
333.19 286.45 961.14
324.65 286.42 943.88
307.64 286.42 930.23
291.83 286.42 911.52
Custom
Path -PL 115 -L -R -YD 10 -DFPWD -QA "-QD|125|-A|aether roots|-T|QSC:I have harvested the root|-E|H" -QA "-QD|125|-A|aether shrub|-T|QSC:harvested the breadfruit|-E|H" -QA "-QD|125|-A|animal den|-T|QSC:I have harvested the meat.|-E|H" -QA "-QD|125|-A|aether shrub|-T|QSC:harvested the seeds.|-E|H" -QA "-QD|125|-A|fallen branch|-T|QSC:harvested the wood|-E|H" -QA "-QD|125|-A|rough ore|-T|QSC:harvested the ore|-E|H" -QA "-QD|125|-A|gem cluster|-T|QSC:Harvest trystine gems|-E|H" -QA "-QD|125|-A|animal den|-T|QSC:harvested the hides|-E|H" -CT "QSC:I have gathered a number of local harvests"
288.28 285.90 893.44
291.06 282.77 872.53
297.77 276.21 850.81
306.58 270.87 827.93
316.66 260.89 805.77
328.90 253.36 780.73
342.44 251.92 765.52
359.48 251.20 743.01
344.12 252.83 730.92
323.88 251.53 727.39
302.01 244.77 721.20
286.42 235.08 707.75
271.93 228.39 689.79
270.47 224.31 667.82
280.02 222.36 649.70
284.24 216.28 627.84
283.71 211.28 607.70
283.20 212.49 588.02
254.00 205.81 573.04
235.48 205.68 564.18
219.68 207.70 580.12
208.18 208.72 582.26
198.48 212.41 599.58
185.78 200.81 622.56
172.74 205.54 651.43
155.21 208.62 676.91
123.07 205.09 677.38
93.86 201.68 678.18
56.94 201.90 676.90
51.76 193.13 657.58
60.28 186.23 632.19
67.16 181.65 604.88
72.88 177.43 600.32
72.28 164.07 586.14
71.46 154.55 566.91
82.71 145.53 556.47
100.82 144.47 538.24
113.59 138.34 513.99
116.66 129.02 492.34
115.01 120.73 473.62
106.84 111.02 455.11
93.98 103.33 441.26
75.13 95.18 426.20
58.34 82.94 409.30
48.20 74.83 390.37
45.37 67.00 365.83
24.76 40.54 327.14
5.63 40.05 330.64
-34.36 37.94 343.62
-65.09 40.16 350.91
-81.64 41.37 364.95
-93.29 40.50 389.08
-110.37 42.15 414.95
-130.23 47.44 418.43
-150.54 52.49 421.07
-167.56 56.64 425.93
-191.77 63.97 430.04
-209.73 70.93 435.36
-230.69 75.34 439.99
-259.39 87.62 444.56
-279.79 90.33 444.70
-299.18 91.54 437.23
-320.23 91.12 414.89
-332.55 89.02 401.43
-346.12 86.10 383.90
-342.28 85.42 365.35
-328.41 87.40 351.16
-320.43 90.72 334.55
-323.44 88.69 310.67
-327.56 85.56 283.04
-326.38 86.81 259.82
-330.66 87.91 233.90
-319.14 93.35 215.64
-301.38 99.77 205.27
-295.61 102.94 186.59
-303.41 107.44 167.47
-312.51 114.18 146.89
-311.49 117.81 126.55
-337.82 110.47 154.09
-334.16 98.11 182.08
-336.25 90.44 209.65
-345.80 81.36 227.90
-354.23 73.64 246.90
-361.16 67.85 274.28
-363.62 68.94 295.47
-361.33 75.07 316.35
-358.87 80.13 336.79
-368.33 80.84 354.53
-397.61 76.00 380.04
-418.01 80.96 395.42
-432.07 89.59 413.80
-443.58 97.86 432.63
-455.55 94.76 417.25
-465.14 88.55 400.78
-468.77 78.17 380.74
-473.32 72.23 358.35
-483.78 73.01 360.69
-504.06 74.37 358.05
-520.24 73.65 341.59
