Check Mage Merchant
Custom
FastTravel "Raj'Dur Plateaus" FALSE
0 0 0
195.83 -60.46 455.38
186.15 -59.35 445.47
170.38 -55.28 429.74
152.31 -48.65 411.73
139.73 -41.42 396.05
129.25 -35.44 381.76
109.26 -26.42 368.03
92.86 -21.84 361.18
76.10 -16.95 355.58
61.99 -14.77 351.37
45.67 -13.12 345.78
28.60 -11.58 339.94
13.69 -10.63 335.70
-0.71 -10.72 331.61
-15.04 -11.03 327.17
-28.90 -11.36 321.80
-43.65 -11.71 316.07
-49.92 -13.07 313.64
-52.00 -13.95 310.11
-61.67 -14.95 307.59
-71.59 -16.26 307.40
-81.84 -16.21 308.94
-91.13 -16.46 314.16
-99.86 -17.05 319.17
-108.71 -17.23 324.24
-118.01 -17.61 329.59
-126.39 -18.09 335.31
-134.37 -15.90 341.26
-141.61 -12.70 348.20
-148.51 -11.12 355.30
-156.33 -11.68 363.76
-163.34 -13.79 371.13
-170.39 -16.56 378.53
-177.11 -19.44 385.59
-184.15 -20.85 393.03
-190.07 -21.60 401.54
-195.39 -21.85 410.89
-199.93 -23.38 419.76
-202.73 -25.45 429.47
-205.76 -26.58 440.02
-209.13 -27.25 450.15
-213.42 -27.33 459.32
-220.77 -26.47 466.52
-228.61 -26.78 472.72
-236.87 -27.71 479.21
-244.90 -27.43 485.28
-254.05 -27.32 490.53
-263.55 -27.68 494.90
-273.29 -28.14 498.59
-282.68 -28.39 502.09
-292.98 -27.60 503.88
-302.38 -23.79 504.62
-312.01 -19.86 504.83
-322.34 -18.35 505.04
-332.89 -18.65 505.34
-342.98 -19.92 506.26
-353.26 -22.06 507.91
-362.79 -24.85 509.63
-372.76 -25.61 511.58
-382.83 -26.15 513.57
-393.11 -25.54 515.10
-404.73 -24.33 516.52
-414.76 -21.73 517.75
-424.62 -20.24 518.96
-435.20 -18.43 520.25
-435.40 57.45 507.87
-419.55 71.64 516.69
-405.56 83.64 544.17
-388.11 85.47 598.02
-375.74 80.77 645.74
-371.03 76.11 694.21
-384.37 72.42 729.79
-398.89 69.58 755.97
-408.77 64.14 776.60
-411.06 36.88 799.61
-414.67 -9.48 825.80
-416.52 -34.42 837.44
-418.72 -59.46 851.17
