Culling Seedlings
Custom
HailActorGetQuest -Actor "Zaari"
658.63 155.29 -717.88
Custom
FlyUp 5
641.83 155.29 -715.80
641.76 194.15 -715.76
602.19 198.43 -685.06
564.33 184.32 -655.21
526.34 171.39 -624.91
492.98 157.83 -590.16
469.66 144.81 -547.60
Custom
Path -PL 22 -L -QA "-QD|100|-A|a grove stalker seedling|-T|QSC:Cull grove stalker seedlings|-E|K"
457.45 138.66 -514.40
446.44 138.66 -483.50
414.61 138.66 -444.64
378.60 138.66 -409.64
341.60 138.66 -375.61
300.64 138.66 -335.15
232.18 138.66 -335.20
206.43 138.66 -302.61
185.45 138.66 -348.31
161.44 138.66 -400.58
164.17 138.66 -450.80
116.67 137.64 -436.26
58.42 137.64 -406.74 
33.26 137.64 -460.45 
66.64 137.64 -501.20 
161.74 138.66 -500.93
156.91 155.44 -547.81
158.62 155.44 -598.01
159.26 155.44 -613.36
178.42 155.44 -568.38
226.06 155.44 -552.28
274.44 155.44 -539.00
322.27 155.44 -523.88
462.67 141.89 -514.14
448.30 138.26 -466.08
432.36 138.26 -418.44
416.42 138.26 -370.79
442.19 112.98 -336.04
487.13 98.44 -318.81
532.66 83.21 -303.79
Custom
Path -PL 19 -L -R -QA "-QD|100|-A|a flora maw seedling|-T|QSC:I reduced the number of grove stalker and flora maw seedlings in Takish Badlands|-E|K"
537.47 79.15 -301.88
562.47 79.15 -258.39
579.95 79.15 -225.36
623.08 79.15 -251.13
670.10 79.15 -269.08
694.56 79.15 -277.41
688.86 79.15 -227.52
683.10 79.15 -177.82
668.93 79.15 -141.77
650.31 79.15 -95.11
633.52 79.15 -47.89
644.96 79.15 0.94
683.04 79.15 33.39
723.18 80.31 52.39
698.54 124.11 53.14
656.69 133.00 79.33
589.25 128.38 78.79
660.41 128.39 79.36
624.27 133.00 117.75
607.35 133.00 175.01
539.02 83.20 -297.10
549.97 108.67 -339.01
560.99 119.03 -386.83
567.06 119.03 -436.75
573.13 119.03 -486.65
583.19 153.10 -521.85
600.59 164.48 -567.65
618.26 164.48 -614.73
634.04 165.04 -662.39
Custom
FlyDown
645.71 159.38 -717.44
Custom
HailActor "Zaari" 2
658.31 155.29 -717.93
