-547.12 10.96 430.99
-548.48 21.35 431.62
-539.31 17.33 434.35
-529.86 19.14 437.60
-522.51 25.42 440.24
-516.40 33.13 442.44
-516.40 43.35 442.44
-516.40 54.04 442.44
-516.40 64.91 442.44
-516.40 75.28 442.44
-516.40 85.94 442.44
-516.40 95.97 442.44
-516.40 106.28 442.44
-516.40 116.46 442.44
-508.24 122.55 445.44
-498.39 121.81 448.76
-488.30 120.47 450.11
-478.19 119.45 448.50
-468.39 118.63 446.17
-458.43 118.02 442.47
-448.44 117.41 438.68
-369.18 112.63 408.66
-279.14 107.38 386.97
-187.38 120.97 265.22
-139.02 120.55 168.01
-103.20 120.25 96.03
-67.02 120.22 29.06
-35.26 120.66 -39.89
-12.20 121.14 -97.35
33.77 122.09 -211.97
44.82 122.34 -242.60
47.75 122.30 -254.56
49.24 118.87 -264.04
51.72 114.41 -273.39
54.43 109.89 -283.35
56.94 106.44 -292.46
59.74 103.33 -302.06
62.53 100.84 -311.93
65.32 98.37 -321.92
67.96 96.04 -331.34
70.77 93.55 -341.41
73.12 91.46 -349.82
63.90 87.17 -351.60
62.91 87.32 -351.79
