Live and Let Dye
Repeatable
Custom
HailActorGetQuest -Actor "Shabari"
86.28 12.41 484.56
86.28 62.75 484.56
90.36 96.21 445.14
97.01 99.89 395.31
103.66 99.89 345.45
105.50 100.76 295.24
101.88 97.23 245.68
99.44 97.08 195.99
96.97 97.08 145.81
94.51 87.08 95.63
92.12 74.25 47.05
89.66 74.25 -3.06
87.20 74.25 -53.12
84.72 74.25 -103.38
Custom
Path -PL 10 -L -W 5 -QA "-QD|100|-A|Madder Plant:Madder Roots:Vertra Foliage:Purple Bonnet Fungi|-T|QSC:Gather healthy madder roots*Gather purple bonnet fungi from under foliage on Vertra Mesa|-E|H"
83.71 69.27 -124.03
49.31 69.27 -160.64
87.35 69.27 -190.18
144.67 72.89 -209.26
187.97 82.83 -243.59
209.25 84.75 -273.95
180.65 84.75 -315.17
143.53 84.75 -301.87
111.17 83.18 -261.08
77.87 83.18 -223.24
48.47 83.18 -182.53
86.80 73.59 -119.72
86.80 73.59 -119.72
Custom 
CheckAndSet -QuestStepExists "Gather indigofera leaves from Needlehead Isle" 83
0 0 0
66.10 78.09 -123.76
25.80 104.06 -139.00
-20.60 108.39 -157.22
-69.29 108.39 -169.29
-117.55 108.39 -183.11
-164.74 108.39 -199.72
-212.52 108.39 -215.38
-260.34 108.39 -231.06
-308.28 108.39 -246.27
Custom
Path -PL 13 -L -R -QA "-QD|100|-A|Myrobalan Fruit|-T|QSC:I gathered all of the dye components Shabari had requested|-E|H"
-360.85 108.39 -263.81
-353.71 108.39 -313.38
-344.91 121.80 -360.90
-333.10 121.80 -409.77
-321.11 121.80 -458.46
-314.23 121.80 -486.43
-346.81 144.18 -455.73
-385.30 144.18 -423.80
-425.62 125.87 -400.39
-425.62 118.70 -400.39
-469.18 118.70 -375.10
-516.69 118.70 -391.37
-557.75 118.70 -420.35
-571.04 118.70 -433.58
-359.26 111.47 -262.53
-359.26 111.47 -262.53
-326.44 108.90 -224.54
-290.94 108.90 -188.95
-255.60 108.90 -153.52
-219.93 108.90 -117.77
-184.52 108.90 -82.27
-148.97 108.90 -46.62
-113.38 108.90 -10.95
-77.94 108.90 24.58
-42.58 108.90 60.02
-7.03 108.90 95.66
28.33 108.90 131.11
43.69 108.90 179.08
49.41 108.90 228.80
55.13 108.90 278.56
55.33 108.90 328.69
61.09 103.98 378.34
72.10 76.26 418.69
84.09 48.71 459.00
Custom
SetMainArrayCounter 135
0 0 0
88.18 73.75 -166.13
91.08 73.75 -216.09
94.00 73.75 -266.21
96.91 73.75 -316.25
99.82 73.75 -366.33
102.75 73.75 -416.61
105.65 73.75 -466.61
108.56 73.75 -516.55
111.47 73.75 -566.61
114.39 73.75 -616.80
117.31 73.75 -667.00
125.61 73.75 -716.55
135.01 73.75 -765.93
Custom
Path -PL 7 -L -R -QA "-QD|100|-A|Indigofera Leaves|-T|QSC:I gathered all of the dye components Shabari had requested|-E|H"
139.82 73.17 -791.19
128.18 73.17 -818.49
83.19 73.17 -824.47
37.52 73.17 -821.99
-6.86 73.17 -831.17
12.52 73.17 -784.86
-37.19 73.17 -777.71
-53.54 73.17 -714.36
142.94 73.17 -792.43
142.94 73.17 -792.43
156.86 74.07 -744.19
165.28 109.54 -709.73
173.89 134.64 -667.19
168.80 149.23 -619.33
164.66 149.23 -569.11
160.54 149.23 -519.06
156.39 149.23 -468.77
152.27 149.23 -418.73
148.16 149.23 -368.89
142.33 149.23 -319.06
135.87 149.23 -269.27
129.41 149.23 -219.44
122.92 149.23 -169.44
116.44 149.23 -119.53
110.01 149.23 -69.94
104.36 149.23 -20.20
102.93 149.23 29.97
101.68 129.85 76.21
100.24 129.85 126.45
98.94 108.23 171.52
97.49 108.23 221.82
96.06 100.80 271.29
94.70 84.29 318.73
93.26 82.61 368.74
91.95 61.04 414.01
90.66 38.49 458.90
0 0 0
Custom
FlyDown
89.96 31.09 483.28
Custom
HailActor "Shabari" 1
86.28 12.41 484.56
