Visions of Vetrovia: Vacrul Intentions
Custom
HailActorGetQuest -Actor "Tavian Faust"
-138.43 19.52 365.65
-129.98 18.42 359.74
-120.57 17.30 356.22
-110.77 16.77 354.26
-100.89 18.71 352.49
-90.98 20.07 351.92
-81.31 23.18 354.31
-72.02 23.29 358.30
-62.07 22.94 359.80
-53.23 22.96 354.29
-49.37 23.22 344.75
-48.10 24.12 334.75
-47.26 26.94 324.95
-46.41 28.12 314.87
-45.04 30.84 305.24
-43.49 32.66 295.34
-41.30 32.30 285.47
-34.58 32.30 277.84
-24.53 32.30 277.49
-15.02 32.30 281.12
-8.20 34.53 288.37
-2.22 36.58 296.18
3.99 36.19 304.41
10.18 36.48 312.54
17.54 36.76 319.36
27.09 36.76 322.93
37.06 37.47 324.67
47.18 39.08 325.80
57.32 40.69 326.59
67.12 42.26 327.86
77.01 43.84 329.14
87.27 45.48 330.54
97.51 46.69 332.00
107.58 46.69 333.44
117.74 46.13 335.74
127.00 46.20 340.15
135.53 46.60 345.81
144.37 47.04 351.71
150.58 48.26 359.59
159.57 50.76 363.88
169.67 53.31 365.23
179.13 54.84 362.27
185.28 56.61 354.35
191.84 58.39 346.64
197.66 60.01 338.44
203.02 61.60 329.79
208.57 63.20 321.31
214.32 65.09 313.28
220.22 66.00 305.14
225.23 67.26 296.51
230.19 67.77 287.81
235.27 68.36 278.90
243.23 68.64 272.64
249.05 68.55 264.49
255.30 69.44 256.59
262.36 71.39 249.55
269.11 73.35 242.13
275.72 75.48 234.85
282.41 77.61 227.66
290.41 79.75 222.04
299.82 81.76 219.02
309.65 83.65 218.40
319.82 85.39 218.45
329.64 87.49 218.26
339.30 90.07 217.44
348.32 92.82 213.98
358.32 95.34 213.18
368.17 98.08 213.21
378.12 100.73 212.91
387.95 103.30 212.22
397.78 105.68 211.43
407.96 107.35 210.61
418.17 108.19 209.82
427.98 108.71 211.82
434.05 108.74 219.79
435.79 108.74 229.94
435.54 108.74 240.09
437.09 108.85 250.10
438.96 108.74 260.26
441.85 110.24 269.82
Custom
UseItem "Ahroun Pack Disguise" 1
441.88 110.24 270.67
Wait
50
441.88 110.24 270.67
Custom
ZoneDoor "Zone to Vacrul heroic and solo" "Castle Vacrul: Rosy Reverie [Solo]"
441.88 110.24 270.67
Custom
Instance
35.97 -0.75 -26.89
Custom
ZoneDoor Exit
256.94 -15.49 138.08
433.50 108.74 253.08
431.12 108.74 243.20
428.77 108.74 233.48
426.12 108.74 223.58
420.25 108.47 215.22
410.78 107.65 211.20
400.87 106.32 210.45
390.72 104.10 210.91
381.07 101.60 211.85
371.30 98.90 213.18
361.28 96.05 214.55
351.55 93.29 215.88
341.96 90.77 217.19
332.31 88.12 218.51
322.35 85.71 219.88
312.50 83.97 221.22
302.64 81.97 222.57
293.11 79.84 224.87
284.37 77.62 230.01
276.88 75.46 236.32
269.64 73.31 243.07
262.18 71.34 249.81
255.16 69.35 257.25
247.99 68.54 264.61
240.74 68.56 271.72
233.78 68.31 279.16
226.56 67.55 286.68
220.14 66.68 294.52
214.41 65.28 303.03
209.10 64.44 311.85
203.96 62.91 320.43
199.33 61.36 329.18
194.29 59.75 338.13
189.12 57.98 346.77
179.63 55.16 349.68
169.93 52.25 350.89
160.32 49.34 352.20
150.36 47.44 351.69
140.65 46.77 348.08
131.21 46.47 344.23
121.95 46.13 340.46
112.42 46.69 337.01
102.64 46.69 334.88
92.55 46.36 332.84
82.71 44.77 330.86
72.83 43.18 328.86
62.99 41.59 326.88
52.94 39.96 324.85
43.13 38.39 323.32
33.24 36.97 321.87
23.29 36.76 320.42
13.25 36.79 318.76
4.92 36.29 312.84
-1.96 36.58 305.03
-8.12 36.55 297.08
-14.37 33.61 288.91
-20.72 32.30 281.10
-30.34 32.30 277.59
-39.47 32.30 282.16
-44.05 32.66 291.49
-46.39 32.00 301.37
-48.55 29.13 310.84
-50.79 28.15 320.63
-53.01 25.38 330.35
-55.38 23.29 339.89
-61.59 23.24 347.91
-71.09 23.29 351.88
-81.08 23.19 353.81
-90.65 20.50 355.60
-100.44 19.23 357.42
-110.03 16.78 359.21
-119.89 17.92 361.21
-129.68 18.63 363.40
Custom
HailActor "Tavian Faust" 4
-138.24 19.52 365.75
-128.94 18.46 361.85
-119.60 17.44 357.94
-110.26 16.77 354.02
-100.61 18.75 351.33
-90.61 20.14 351.01
-81.17 23.12 352.59
-71.05 23.29 354.23
-61.12 23.11 352.13
-55.48 23.24 343.85
-52.71 24.30 334.15
-51.08 26.92 324.63
-49.39 28.12 314.46
-47.69 30.96 304.69
-45.97 32.66 294.86
-38.38 32.30 288.07
-29.93 32.30 282.18
-20.37 32.30 278.43
-10.47 32.48 281.31
-2.63 35.47 287.12
2.85 36.58 295.80
7.85 36.27 304.92
12.98 36.57 313.88
20.81 36.76 320.77
30.37 36.76 323.70
40.47 38.01 325.14
50.36 39.59 326.44
60.19 41.17 327.72
70.15 42.76 329.03
80.20 44.44 330.34
90.15 45.96 331.65
100.34 46.69 332.98
110.66 46.69 335.51
119.81 46.13 339.97
128.60 46.44 345.36
137.34 46.78 350.81
145.90 47.37 356.15
155.05 49.29 360.48
164.97 51.82 360.20
174.30 53.88 357.03
182.92 56.13 351.76
190.15 58.40 344.80
196.25 60.19 336.07
200.99 61.77 327.18
205.82 63.33 318.50
211.13 64.78 309.54
216.56 65.61 300.89
222.61 67.03 292.69
229.09 67.80 284.97
235.63 68.40 277.18
242.25 68.55 269.29
248.84 68.60 261.44
255.35 69.79 253.69
261.80 71.68 246.01
268.62 73.78 238.72
276.70 75.96 232.68
285.16 78.15 227.22
294.34 80.19 223.76
304.16 82.33 221.96
314.03 84.26 220.59
323.86 86.06 219.28
333.92 88.63 217.93
343.71 91.29 216.61
353.38 93.81 215.32
362.94 96.57 214.04
372.51 99.24 212.75
382.30 101.95 211.44
391.94 104.46 210.15
401.84 106.55 208.82
411.45 107.73 212.60
419.34 108.64 218.93
424.32 108.74 227.73
428.16 108.74 237.04
431.60 108.74 247.08
434.93 108.74 256.53
438.89 108.74 265.81
Custom
ZoneDoor "Zone to Vacrul heroic and solo" "Castle Vacrul: Caverns of the Forsaken [Solo]"
442.69 110.24 271.32
Custom
Instance
-72.55 -63.75 195.87
Custom
ZoneDoor Exit
-193.16 -56.10 -221.57
434.13 108.74 254.36
433.16 108.74 244.07
431.97 108.74 234.03
429.16 108.74 224.33
422.14 108.64 216.65
412.90 107.87 212.70
402.97 106.65 211.73
393.08 104.59 212.08
383.25 102.11 212.44
373.50 99.50 212.79
363.78 96.86 213.40
354.05 94.12 214.22
344.07 91.64 215.06
334.09 89.04 215.90
324.25 86.47 216.73
314.31 84.51 217.58
304.50 82.62 219.34
295.62 80.42 223.73
287.34 78.21 229.57
279.31 75.98 235.59
271.48 73.84 241.48
263.67 71.81 247.39
255.57 69.84 253.52
247.50 68.71 259.62
239.50 68.51 265.87
232.87 68.43 273.39
227.51 67.96 282.20
222.22 67.15 291.10
216.99 65.75 299.89
211.77 64.86 308.65
206.58 63.56 317.29
201.38 61.97 325.92
195.42 60.38 334.12
189.36 58.62 342.17
183.34 56.28 350.07
175.81 54.22 356.35
166.16 51.84 357.49
156.89 48.82 354.13
147.92 47.05 349.53
138.92 46.61 344.90
129.65 46.29 340.48
120.33 46.13 336.77
110.51 46.69 334.12
100.38 46.69 332.92
90.47 46.01 331.62
80.35 44.46 330.29
69.81 42.70 328.90
59.62 41.07 327.56
49.81 39.62 326.27
40.03 37.94 324.99
30.06 36.76 323.67
19.86 36.76 322.33
9.52 36.53 320.72
3.01 36.26 312.95
-0.78 36.58 302.59
-5.36 36.22 293.69
-10.69 33.34 285.54
-19.32 32.30 279.89
-29.42 32.30 278.28
-38.57 32.30 283.17
-44.58 32.67 291.46
-47.20 32.01 301.17
-47.18 29.10 311.15
-46.08 28.10 321.10
-45.54 25.36 330.82
-45.76 23.29 340.75
-48.18 23.06 350.74
-55.18 22.93 358.19
