Competitive Market Strategies
Custom
HailActorGetQuest -Actor "Vikana"
-247.45 13.58 129.24
-250.80 13.58 119.53
-253.99 13.43 109.72
-257.84 13.40 100.09
-262.88 13.16 91.01
-267.93 12.40 82.41
-273.14 11.55 73.52
-278.23 10.91 64.84
-283.40 10.60 56.01
-288.51 10.28 47.24
-293.52 9.57 38.24
-298.50 8.32 29.20
-303.37 7.51 20.14
-308.15 6.89 11.16
-312.92 5.97 2.21
-317.60 4.92 -6.60
-322.40 3.62 -15.61
-327.17 2.59 -24.57
-331.82 1.91 -33.50
-335.76 1.34 -43.01
-339.04 0.92 -52.64
-342.32 0.72 -62.36
-345.54 0.02 -71.91
-348.83 -0.01 -81.67
-352.33 0.08 -92.05
-355.54 0.32 -101.55
-358.79 0.32 -111.20
-361.99 0.53 -120.68
-365.32 0.49 -130.31
-369.31 0.49 -139.58
-374.87 0.32 -147.92
-381.73 0.32 -155.72
-388.47 0.30 -163.37
-395.00 -0.26 -171.02
-401.34 -0.23 -179.08
-405.30 0.02 -188.28
-402.47 0.09 -197.96
-397.91 0.63 -206.90
-390.85 2.54 -214.16
-382.40 4.35 -219.48
-373.30 6.39 -223.66
-364.12 8.82 -227.61
-354.81 10.33 -231.60
-345.60 11.39 -235.55
-336.03 13.45 -239.65
-326.75 15.46 -243.57
-317.10 16.88 -247.00
-307.34 18.24 -249.67
-297.34 20.10 -251.36
-287.62 22.54 -252.64
-277.47 24.60 -253.54
-267.48 25.86 -254.33
-257.39 27.01 -255.13
-247.25 28.02 -256.30
-237.59 29.70 -259.10
-228.14 31.19 -262.34
-219.08 33.83 -265.78
-209.70 37.22 -269.39
-212.43 37.02 -279.16
-215.76 37.34 -288.83
-219.60 38.13 -298.44
-223.78 38.65 -307.68
-228.25 40.53 -316.49
-233.07 44.75 -324.20
-238.32 49.06 -331.64
-244.79 52.01 -338.79
-253.99 53.30 -342.66
-263.62 53.40 -345.50
-273.62 53.65 -346.62
Custom
ZoneDoor "Zone to Merchant Den" "The Merchant's Den Solo"
-290.13 53.74 -345.19
Custom
Instance
-112.22 0.19 -53.21
Custom
ZoneDoor Exit
-236.48 -5.16 123.43
-275.93 53.58 -345.86
-265.79 53.40 -345.52
-256.01 53.39 -343.36
-249.32 51.55 -336.01
-245.81 48.11 -326.92
-242.84 43.15 -318.63
-241.20 38.44 -309.75
-238.26 37.84 -300.05
-240.19 36.44 -290.17
-246.67 36.39 -282.48
-254.25 36.48 -275.81
-262.14 35.56 -269.28
-269.03 30.96 -263.26
-275.45 25.22 -257.70
-285.04 23.05 -254.63
-294.50 20.73 -251.93
-304.00 19.01 -249.03
-313.52 17.63 -246.10
-323.25 16.15 -243.10
-332.62 14.27 -240.08
-342.06 11.97 -236.63
-351.60 10.67 -233.02
-361.35 9.35 -228.66
-370.34 7.15 -224.39
-379.31 4.87 -220.14
-387.61 2.89 -214.78
-392.50 0.77 -206.16
-398.50 0.05 -197.88
-399.98 0.00 -187.87
-397.95 -0.25 -177.81
-393.55 -0.19 -168.74
-387.68 0.32 -160.38
-381.70 0.32 -152.33
-375.54 0.49 -144.06
-369.46 0.49 -135.87
-363.70 0.49 -127.33
-358.83 0.32 -118.32
-354.44 0.32 -109.05
-350.12 0.32 -99.78
-346.17 0.29 -90.56
-342.47 -0.01 -81.13
-338.71 0.04 -71.53
-335.01 0.77 -62.11
-331.35 1.17 -52.77
-327.64 1.87 -43.30
-323.97 2.36 -33.94
-320.29 3.05 -24.54
-316.59 4.13 -15.10
-312.86 5.52 -5.58
-309.09 6.41 4.03
-305.15 7.12 13.23
-300.27 7.72 22.30
-295.33 8.68 31.13
-290.42 9.80 39.86
-285.24 10.34 49.08
-280.24 10.68 58.04
-275.93 11.05 67.42
-272.07 11.79 76.80
-268.21 12.56 86.17
-264.43 13.22 95.71
-260.80 13.21 105.25
-256.95 13.39 114.83
-251.39 13.58 123.60
Custom
HailActor "Vikana" 2
-247.56 13.58 128.03
