Visions of Vetrovia: Eyes on Vacrul Throne
Custom
HailActorGetQuest -Actor "Tavian Faust"
-139.18 19.57 366.16
-129.83 18.54 361.87
-120.36 17.57 358.46
-110.81 16.77 354.83
-100.90 18.73 352.79
-90.87 20.20 352.69
-81.19 23.19 353.24
-70.82 23.29 353.70
-61.24 23.17 350.52
-54.78 23.26 342.88
-50.93 24.49 333.55
-49.17 27.23 323.79
-47.91 28.22 313.63
-46.59 31.29 303.66
-45.03 32.66 293.55
-42.58 32.30 283.73
-34.58 32.30 277.47
-24.64 32.30 276.12
-15.35 32.30 280.36
-8.94 34.30 288.16
-2.75 36.58 296.01
3.53 36.17 303.96
10.13 36.47 311.96
18.92 36.76 317.28
28.67 36.76 320.47
38.67 37.66 322.17
48.69 39.37 323.91
58.57 40.87 325.89
68.33 42.45 327.85
78.33 44.06 329.82
88.15 45.64 331.49
99.16 46.69 333.69
108.91 46.69 336.36
118.90 46.13 339.11
129.00 46.33 341.88
138.94 46.60 344.62
149.23 46.94 347.45
159.05 48.71 350.14
168.90 52.06 352.53
178.39 54.77 349.24
187.14 57.74 345.10
194.89 59.74 338.63
199.74 61.33 329.68
204.60 62.94 320.63
209.44 64.47 311.81
213.16 65.37 302.18
216.79 66.95 292.90
222.51 67.72 284.60
228.78 68.34 276.68
235.54 68.48 269.25
242.31 68.55 261.81
249.08 69.28 254.36
255.59 70.74 246.81
261.87 72.80 239.15
268.31 74.90 231.56
275.63 77.06 224.68
284.36 79.24 219.30
294.16 81.12 216.76
304.07 82.91 215.76
314.08 84.73 214.80
324.15 86.83 213.82
334.06 89.61 212.87
343.91 92.14 211.91
353.74 94.51 210.96
363.65 97.12 210.00
373.25 99.78 209.07
382.94 102.49 208.14
392.77 104.88 207.44
402.64 106.74 207.71
412.59 107.81 209.45
422.42 108.49 212.32
425.23 108.74 222.31
428.25 108.74 232.01
431.27 108.74 241.70
434.15 108.74 251.57
437.06 108.75 261.50
441.36 110.24 270.42
Custom
ZoneDoor "Zone to Vacrul heroic and solo" "Castle Vacrul: Throne of the Ydal"
442.62 110.24 272.26
Custom
Instance
-12.55 -50.70 207.64
Custom
ZoneDoor Exit
-58.10 -57.97 461.18
435.72 108.74 252.61
434.09 108.74 242.42
432.34 108.74 232.31
427.32 108.74 223.54
420.17 108.53 216.35
410.88 107.67 212.16
400.78 106.29 210.85
390.73 104.07 211.26
380.83 101.50 212.30
371.24 98.86 213.74
361.69 96.12 215.19
352.11 93.32 216.60
342.33 90.77 217.74
332.49 88.17 218.45
322.64 85.85 219.15
312.73 84.09 219.86
302.40 82.08 220.61
292.62 80.10 222.18
286.05 77.93 229.99
279.63 75.80 237.40
272.49 73.61 244.37
264.98 71.85 250.87
257.46 69.83 257.37
249.90 68.56 263.88
241.77 68.55 269.94
234.09 68.37 276.83
227.63 67.75 284.73
222.23 66.97 293.14
216.76 65.49 302.23
211.11 64.72 310.55
205.44 63.24 318.88
199.84 61.68 327.11
193.86 60.00 335.90
188.28 58.13 344.12
181.51 55.72 351.27
172.38 53.25 355.23
162.61 50.55 355.48
152.97 47.90 352.83
143.64 46.89 349.07
134.26 46.57 345.22
125.25 46.19 340.74
115.90 46.13 336.53
106.31 46.69 333.54
96.16 46.81 332.27
86.33 45.34 330.98
76.30 43.74 329.48
66.38 42.14 327.99
56.43 40.55 326.51
46.48 38.96 325.17
36.58 37.37 323.68
26.42 36.76 322.05
17.14 36.76 318.18
9.01 36.43 312.02
2.16 36.15 304.30
-4.84 36.58 295.77
-11.11 33.91 288.17
-18.09 32.30 280.83
-27.34 32.30 276.86
-36.86 32.30 280.27
-42.74 32.63 288.69
-45.44 32.66 298.70
-46.44 29.89 308.65
-47.38 28.12 318.60
-48.41 26.13 328.36
-50.62 23.29 337.77
-55.96 23.18 346.66
-64.25 23.17 352.35
-74.44 23.39 353.79
-84.33 22.22 352.80
-94.22 19.45 352.15
-104.64 17.73 353.99
-114.26 17.03 357.48
-123.68 18.19 360.93
-133.23 19.02 363.89
Custom
HailActor "Tavian Faust" 4
-138.83 19.56 366.17
