Visions of Vetrovia: Handle With Scare
Custom
HailActorGetQuest -Actor "Dhusala"
7.97 97.46 573.28
Custom
HailActor "Plibiik" 8
4.06 95.86 578.98
4.06 145.94 578.98
35.46 152.59 540.52
67.21 152.59 501.63
98.93 152.59 462.77
129.00 168.39 425.93
158.60 186.67 389.67
189.85 195.11 351.39
221.58 195.11 312.52
251.51 195.11 272.14
271.78 195.11 226.11
291.56 195.11 180.16
311.41 195.11 134.07
331.29 195.11 87.91
351.11 195.11 41.89
370.95 195.11 -4.19
390.74 195.11 -50.15
410.54 195.11 -96.12
432.77 195.11 -141.26
459.29 195.11 -183.79
485.96 195.11 -226.35
512.56 195.11 -268.79
539.26 195.11 -311.39
558.08 157.00 -336.71
579.95 122.50 -365.91
601.74 88.12 -395.02
619.44 59.98 -432.51
Custom
FlyDown
626.00 54.44 -446.62
Custom
ZoneDoor "Zone to Mahngavi Heroics Doorit" "Mahngavi Wastes: Phantasmal Shades [Solo]"
646.49 48.82 -445.84
Custom
Instance
626.03 48.83 -445.08
Custom
ZoneDoor Exit
-648.40 18.55 -305.29
626.17 48.79 -442.66
616.75 42.26 -428.62
Wait
1
613.29 35.21 -409.74
613.29 85.39 -409.74
595.65 126.81 -387.79
567.91 152.56 -354.90
534.21 161.77 -319.01
499.87 161.77 -282.44
465.44 161.77 -245.77
431.20 161.77 -209.29
396.74 161.77 -172.59
385.14 161.77 -123.83
393.62 148.23 -76.31
Custom
FlyDown
402.33 131.31 -55.29
Custom
ZoneDoor "Zone to Akashic Neverthere: Ballentree Repository"
373.66 111.50 -35.87
Custom
Path -PL 59 -L -QA "-A|Stolen Memory|-T|QSC:Recover Tavian Faust's stolen memory in the Akashic Neverthere|-E|H"
-313.05 13.30 264.90
-315.12 13.16 268.98
-318.80 13.49 283.10
-330.13 14.67 293.97
-328.27 14.67 301.59
-329.09 14.67 291.10
-339.05 14.74 288.83
-328.06 14.67 291.33
-314.76 13.25 279.83
-308.98 14.17 295.59
-311.97 16.22 305.18
-317.73 17.62 313.51
-316.31 15.42 303.55
-312.69 14.08 294.23
-308.99 13.58 284.72
-309.48 12.96 274.66
-304.70 12.92 265.86
-296.40 12.68 259.80
-287.46 12.53 255.29
-279.44 12.78 248.93
-273.56 12.76 240.82
-271.21 12.88 230.93
-271.72 12.90 220.89
-273.60 12.91 211.05
-276.51 12.90 201.31
-278.99 13.12 191.42
-279.35 13.41 181.24
-271.23 13.53 175.39
-261.08 13.58 175.38
-254.06 13.66 182.51
-256.09 12.97 192.28
-260.33 13.15 201.54
-264.98 13.74 210.75
-269.28 13.02 219.96
-271.00 12.91 230.01
-267.56 12.62 239.55
-262.04 12.76 248.08
-260.80 13.26 256.95
-250.95 13.18 255.17
-240.77 13.06 253.29
-230.59 12.98 251.66
-220.24 13.36 251.69
-210.31 13.80 254.98
-202.76 14.29 261.79
-197.11 14.37 270.10
-188.41 14.49 275.33
-178.30 14.81 274.03
-169.92 15.31 268.33
-162.31 16.41 261.70
-161.62 16.77 251.66
-169.58 17.91 245.40
-177.39 20.17 239.49
-185.83 20.04 233.46
-193.88 20.04 227.18
-201.40 20.04 220.37
-206.59 20.04 211.59
-208.75 20.04 204.96
-213.08 20.04 195.59
-214.70 20.04 191.86
-216.09 21.22 182.00
-217.02 21.22 175.36
-217.02 21.22 175.36
-217.02 21.22 175.36
Custom
ClickActor "Golden Skull"
-208.70 21.22 170.06
-216.45 21.22 175.01
-215.00 21.19 185.14
-213.55 20.04 195.25
-210.97 20.04 205.30
-206.64 20.04 214.44
-200.50 20.04 222.47
-193.04 20.04 229.14
-184.84 20.04 235.46
-176.91 20.13 241.57
-169.57 17.38 247.90
-166.78 16.59 257.56
-170.19 15.34 267.09
-178.99 14.74 272.06
-188.85 14.37 270.30
-197.28 14.37 264.29
-205.52 14.05 258.12
-214.94 13.74 253.83
-225.04 13.04 252.50
-235.26 13.01 252.49
-245.30 13.07 252.90
-255.46 13.05 253.79
-265.59 12.98 255.11
-275.58 12.79 256.42
-285.64 12.50 257.43
-295.83 12.74 258.09
-305.91 13.10 258.90
Custom
ZoneDoor zone_exit
-318.35 13.68 259.44
370.34 111.49 -33.25
361.73 110.78 -27.46
353.54 108.98 -21.95
345.17 107.51 -16.33
337.10 105.66 -10.11
Wait
1
328.44 100.81 0.84
328.44 150.83 0.84
304.09 154.35 44.39
279.57 154.35 88.23
258.36 179.28 126.16
233.84 179.28 170.01
209.35 179.28 213.79
184.95 179.28 257.43
160.40 179.28 301.32
135.94 179.28 345.07
111.46 179.28 388.84
86.97 179.28 432.64
65.14 179.28 477.75
43.55 179.28 522.95
19.60 175.36 566.69
Custom
Path -PL 9 -L -QA "-QD|200|-A|Blessed Soil|-T|QSC:Bury the golden skull in the cemetery in Mahngavi Wastes|-E|H"
19.60 144.33 566.69
-36.44 144.33 584.62
-83.70 144.33 588.18
-125.71 144.33 600.16
-111.34 143.96 648.34
-102.77 143.96 674.56
-52.50 143.96 671.78
-2.51 143.96 669.01
5.83 143.96 637.94
-10.65 143.96 607.14
20.97 144.03 564.85
20.97 144.03 564.85
-24.65 142.57 585.88
-67.03 142.57 613.03
-108.27 142.57 641.38
-149.57 142.57 669.77
Custom
FlyDown
-170.24 119.76 693.13
Custom
HailActor "Tavian Faust" 12
-180.95 103.99 689.90
-180.95 154.06 689.90
-136.39 157.14 667.28
-91.62 157.14 644.56
-49.01 157.14 618.07
-17.91 126.35 593.76
Custom
FlyDown
5.35 102.68 575.30
Custom
HailActor "Dhusala" 3
7.76 97.42 573.43
