V Fur Vendetta
Custom
HailActorGetQuest -Actor "Kurtis Scarson"
-493.02 2.13 -178.71
-485.37 2.13 -185.21
-477.15 2.13 -191.31
-467.36 1.99 -194.33
-457.30 1.76 -193.73
-447.50 1.03 -191.01
-437.92 0.27 -188.20
-428.23 0.24 -185.36
-418.48 0.05 -182.50
-408.83 -0.21 -179.40
-399.42 -0.27 -175.60
-390.61 0.07 -170.61
-382.86 0.32 -164.17
-375.94 0.32 -156.55
-371.09 0.58 -147.73
-367.11 0.49 -138.54
-363.17 0.49 -129.31
-359.13 0.32 -119.84
-355.16 0.32 -110.51
-351.15 0.32 -101.12
-347.15 0.30 -91.74
-343.16 -0.01 -82.38
-339.16 0.01 -73.00
-335.24 0.66 -63.80
-331.24 1.14 -54.40
-327.36 1.71 -45.15
-323.65 2.34 -35.61
-319.76 3.05 -25.24
-316.19 4.12 -15.74
-312.68 5.49 -6.39
-309.06 6.38 3.26
-305.54 7.08 12.64
-301.93 7.65 22.26
-298.32 8.63 31.90
-294.74 9.85 41.45
-291.20 10.41 50.86
-287.51 10.67 60.71
-283.96 11.08 70.18
-280.43 11.80 79.58
-277.78 12.58 89.38
-276.93 13.11 99.48
-276.10 13.52 109.44
-275.25 13.46 119.68
-274.41 13.35 129.77
-272.60 13.57 139.75
-270.53 13.59 149.64
-268.71 14.01 159.53
-269.06 13.58 169.60
-268.96 13.36 179.79
-269.51 12.93 189.89
-270.33 12.91 200.01
-271.26 12.92 210.40
-271.55 12.90 220.71
-270.84 12.89 230.76
-269.67 12.64 240.76
-262.12 12.75 247.46
-251.93 12.96 249.11
-241.67 13.02 250.43
-231.48 12.98 251.60
-221.24 13.32 253.00
-211.30 13.81 255.61
-201.98 14.26 260.49
-193.45 14.37 266.07
-184.67 14.44 271.37
-175.78 15.04 275.94
-166.03 15.48 278.20
-164.55 15.64 268.22
-162.57 16.62 258.28
-165.95 16.79 248.59
-173.33 19.37 242.32
-181.51 20.28 236.60
-189.88 20.04 230.94
Wait
50
-198.30 20.04 224.99
-205.93 20.04 218.42
Wait
50
-210.14 20.04 209.23
-212.73 20.04 199.41
Custom
Path -PL 7 -L -QA "-A|Ahroun Pelt|-T|QSC:I recovered the Ahroun pelts from the Royal Myrmidon dens|-E|H"
-214.07 20.04 194.70
-215.76 21.19 184.65
-215.92 21.22 180.21
-224.46 21.22 174.56
-216.54 21.22 168.23
-211.07 21.42 169.13
-209.18 21.22 177.02
-215.74 21.22 180.50
-214.05 20.04 194.83
-214.05 20.04 194.83
-209.12 20.04 203.86
-203.68 20.04 212.37
-197.91 20.04 220.89
-191.64 20.04 228.90
-184.90 20.21 236.52
-177.48 20.13 243.43
-170.29 17.09 250.12
-164.13 16.60 258.18
-162.92 15.83 268.14
-168.57 15.43 276.60
-178.70 14.95 278.38
-188.17 14.44 274.24
-195.83 14.37 267.25
-203.40 14.23 260.59
-212.68 13.81 256.81
-222.60 13.24 254.79
-232.56 13.00 253.59
-242.60 13.06 252.75
-252.75 13.00 251.60
-262.03 12.76 247.03
-268.17 12.63 238.80
-270.26 12.94 228.83
-270.53 12.94 218.68
-270.44 12.97 208.56
-270.34 12.90 198.46
-269.56 12.96 188.34
-269.14 13.43 178.23
-269.14 13.58 167.85
-270.88 14.62 157.70
-272.87 13.58 147.70
-274.80 13.54 137.65
-276.24 13.41 127.74
-277.67 13.55 117.70
-279.11 13.50 107.49
-280.57 13.00 97.24
-282.03 12.41 86.95
-283.46 11.56 76.87
-284.88 10.89 66.80
-286.36 10.59 56.45
-289.32 10.26 46.81
-293.81 9.51 37.83
-299.59 8.31 29.49
-305.02 7.54 20.70
-309.46 6.89 11.72
-314.72 5.85 2.19
-319.65 4.83 -6.53
-324.78 3.54 -15.43
-329.86 2.46 -24.18
-333.72 1.84 -33.45
-336.75 1.23 -43.46
-339.48 0.91 -53.26
-341.83 0.70 -62.98
-344.31 0.00 -72.93
-346.79 -0.01 -82.72
-349.34 0.29 -92.69
-352.28 0.32 -102.39
-355.62 0.32 -111.87
-359.57 0.32 -121.18
-363.50 0.58 -130.46
-367.46 0.49 -139.83
-371.54 0.32 -149.20
-377.88 0.32 -157.32
-385.23 0.32 -164.18
-393.46 -0.19 -170.19
-401.81 -0.26 -175.89
-410.92 -0.19 -180.72
-420.41 0.11 -184.39
-430.00 0.21 -187.24
-440.85 0.38 -188.57
-450.55 1.34 -191.40
-459.74 1.78 -195.71
-469.73 1.94 -196.85
-479.44 2.15 -194.04
-487.52 2.13 -188.14
-493.32 2.13 -179.83
Custom
HailActor "Kurtis Scarson" 3
-493.36 2.13 -178.64
